quizzes,solutions,clue_numbers,difficulty_level
327456891918372546465981732532864179791523684846719253653148927279630418184297365,327456891918372546465981732532864179791523684846719253653148927279635418184297365,80,easy
153897264987624153264513987632751849849362570571489632795248316316975428428136795,153897264987624153264513987632751849849362571571489632795248316316975428428136795,80,easy
685137429317492856942865173829516734156743298473289561234958607598671342761324985,685137429317492856942865173829516734156743298473289561234958617598671342761324985,80,easy
839624571420751398157938264394162785261875943578493612942516837783249156615387429,839624571426751398157938264394162785261875943578493612942516837783249156615387429,80,easy
316827594459361728872495163687254319245913876901678452168742935724539681593186247,316827594459361728872495163687254319245913876931678452168742935724539681593186247,80,easy
895617234761324598432958167620543819354189726918276453246835971583791642179462385,895617234761324598432958167627543819354189726918276453246835971583791642179462385,80,easy
815749623479326581236185947792638415368514279154972836547293160923861754681457392,815749623479326581236185947792638415368514279154972836547293168923861754681457392,80,easy
419273856732865914658941237594712680386459721127638495845197362971326548263584179,419273856732865914658941237594712683386459721127638495845197362971326548263584179,80,easy
218954763763128594594673218429536871356781029871249356982465137137892645645317982,218954763763128594594673218429536871356781429871249356982465137137892645645317982,80,easy
490768315768153249153492876637521498984637152521984763245879631879316524316245987,492768315768153249153492876637521498984637152521984763245879631879316524316245987,80,easy
060540903098020014401908672003860005680754130004103020020019368149380000030205491,267541983398627514451938672913862745682754139574193826725419368149386257836275491,49,medium
610700200452003097090452310004006705936587401007024609069275003301060502075301060,613798254452613897798452316124936785936587421587124639869275143341869572275341968,49,medium
070980436043007190809304750798610004100040907452070001061032070000106243324750610,275981436643527198819364752798613524136245987452879361961432875587196243324758619,49,medium
604823597705061002230500010070000304000987165560002008380005041956204080102738659,614823597795461832238579416879156324423987165561342978387695241956214783142738659,49,medium
004069502000430097967258000713092805296500073080317000348000259001020408509043761,134769582852431697967258314713692845296584173485317926348176259671925438529843761,49,medium
467000050810250470300674891901800063502360914006000508208536147070902000653701080,467198352819253476325674891941825763582367914736419528298536147174982635653741289,49,medium
013247005985010247247985600008090704301700528704508001030872050872159030050000800,613247985985613247247985613528391764391764528764528391436872159872159436159436872,49,medium
108270934007090800409086752590308206381627405002500003020704019745001020910860007,168275934257493861439186752594318276381627495672549183826754319745931628913862547,49,medium
000870526708652910506001030801365000053009800092187053240010067109036245067520100,914873526738652914526491738871365492653249871492187653245918367189736245367524189,49,medium
340720010027000040518903020032160008000058239804209107483002571096071384105084002,349726815627815943518943726932167458761458239854239167483692571296571384175384692,49,medium
160030005200760308008000017000000100004090003803010000070006032600200040052004809,167839425245761398938542617796328154514697283823415976471986532689253741352174869,31,hard
000071000308006009090480025080010007003004010020039000004000001865092000000340806,652971384348526179197483625486215937973864512521739468734658291865192743219347856,31,hard
400000500700104980680007000300750012010000058000010093500060009908205300060800000,431986527725134986689527134396758412214693758857412693542361879978245361163879245,31,hard
100003090000081000300009000703052080250108374060000900532000000407030009690000003,184573692926481537375629418743952186259168374861347925532896741417235869698714253,31,hard
500600070000310864000020130000000000601090023350000900000400390004032051230061000,513684279927315864486729135798253416641897523352146987165478392874932651239561748,31,hard
150800007000060200004010008007000009400607530005900726000000003526000970000470052,152893467983764215674512398267135849498627531315948726749256183526381974831479652,31,hard
003500090280000406645080007000200008450000000090001020064805710000003205000109003,713546892289317456645982137136254978452798361897631524364825719971463285528179643,31,hard
048000600730000800106004007805000000610500000000360520000030080500249703007100290,248973651739615842156824937825497316613582479974361528492736185581249763367158294,31,hard
002000000690250001081369050050400010000900700000000030836000147017003090905001000,542178963693254871781369452359427618168935724274816539836592147417683295925741386,31,hard
003700200700000050002030879804006900060005000050040120406100093030400000100073040,513789264798624351642531879874216935261395487359847126486152793937468512125973648,31,hard
900000100000063420000108000040000500608509000593704000001000070009007061074000000,936452187187963425425178936742681593618539742593724618361295874259847361874316259,27,very_hard
700300200003005700050800000005000001009180000060030000047098000086013007002004900,798361254613425798254879613325947861479186325861532479547698132986213547132754986,27,very_hard
400000012000900380050020090000092700004010209006080000030061024005000003900008000,479853612621974385358126497513692748784315269296487531837561924165249873942738156,27,very_hard
000070000741632900020090700004080109030000040105007003007000000009000008003900070,958174362741632985326895714674283159832519647195467823267358491419726538583941276,27,very_hard
030070000802000935600030802006907000400000000020014306004090000087005000000001004,935278641872146935641539872356927418418653729729814356564392187187465293293781564,27,very_hard
002106045000000071700000000000005060005000130070000000500600013000000896960310052,892176345453982671716543289341825967285769134679431528524698713137254896968317452,27,very_hard
940800127806700000700030500000006200020000005000080000094208003001600000200300006,943865127856721439712934568437596281128473695569182374694258713371649852285317946,27,very_hard
000045000000000391867000024000700000700000000000000079102008060070100045008609210,913245786245867391867913524586791432791324658324586179132458967679132845458679213,27,very_hard
090031070430807000000000004070062005062004000010000020100000000000020457745000030,296431578431857962857296314978362145362514789514978623123745896689123457745689231,27,very_hard
060079013700000680000086004007000008008000001001800000509040006306000102400000009,865479213794312685123586974657194328238765491941823567579241836386957142412638759,27,very_hard
